pokemon_id,base_xp,height,weight,abilities
58,70,7,190,justified
59,194,19,1550,intimidate
59,194,19,1550,flash-fire
59,194,19,1550,justified
60,60,6,124,water-absorb
60,60,6,124,damp
60,60,6,124,swift-swim
61,135,10,200,water-absorb
61,135,10,200,damp
61,135,10,200,swift-swim
62,230,13,540,water-absorb
62,230,13,540,damp
62,230,13,540,swift-swim
63,62,9,195,synchronize
63,62,9,195,inner-focus
63,62,9,195,magic-guard
64,140,13,565,synchronize
64,140,13,565,inner-focus
64,140,13,565,magic-guard
65,225,15,480,synchronize
65,225,15,480,inner-focus
65,225,15,480,magic-guard
66,61,8,195,guts
66,61,8,195,no-guard
66,61,8,195,steadfast
67,142,15,705,guts
67,142,15,705,no-guard
67,142,15,705,steadfast
68,227,16,1300,guts
68,227,16,1300,no-guard
68,227,16,1300,steadfast
69,60,7,40,chlorophyll
69,60,7,40,gluttony
70,137,10,64,chlorophyll
70,137,10,64,gluttony
71,221,17,155,chlorophyll
71,221,17,155,gluttony
72,67,9,455,clear-body
72,67,9,455,liquid-ooze
72,67,9,455,rain-dish
73,180,16,550,clear-body
73,180,16,550,liquid-ooze
73,180,16,550,rain-dish
74,60,4,200,rock-head
74,60,4,200,sturdy
74,60,4,200,sand-veil
75,137,10,1050,rock-head
75,137,10,1050,sturdy
75,137,10,1050,sand-veil
76,223,14,3000,rock-head
76,223,14,3000,sturdy
76,223,14,3000,sand-veil
77,82,10,300,run-away
77,82,10,300,flash-fire
77,82,10,300,flame-body
78,175,17,950,run-away
78,175,17,950,flash-fire
78,175,17,950,flame-body
79,63,12,360,oblivious
79,63,12,360,own-tempo
79,63,12,360,regenerator
80,172,16,785,oblivious
80,172,16,785,own-tempo
80,172,16,785,regenerator
81,65,3,60,magnet-pull
81,65,3,60,sturdy
81,65,3,60,analytic
82,163,10,600,magnet-pull
82,163,10,600,sturdy
82,163,10,600,analytic
83,132,8,150,keen-eye
83,132,8,150,inner-focus
83,132,8,150,defiant
84,62,14,392,run-away
84,62,14,392,early-bird
84,62,14,392,tangled-feet
85,165,18,852,run-away
85,165,18,852,early-bird
85,165,18,852,tangled-feet
86,65,11,900,thick-fat
86,65,11,900,hydration
86,65,11,900,ice-body
87,166,17,1200,thick-fat
87,166,17,1200,hydration
87,166,17,1200,ice-body
88,65,9,300,stench
88,65,9,300,sticky-hold
88,65,9,300,poison-touch
89,175,12,300,stench
89,175,12,300,sticky-hold
89,175,12,300,poison-touch
90,61,3,40,shell-armor
90,61,3,40,skill-link
90,61,3,40,overcoat
91,184,15,1325,shell-armor
91,184,15,1325,skill-link
91,184,15,1325,overcoat
92,62,13,1,levitate
93,142,16,1,levitate
94,225,15,405,cursed-body
95,77,88,2100,rock-head
95,77,88,2100,sturdy
95,77,88,2100,weak-armor
96,66,10,324,insomnia
96,66,10,324,forewarn
96,66,10,324,inner-focus
97,169,16,756,insomnia
97,169,16,756,forewarn
97,169,16,756,inner-focus
98,65,4,65,hyper-cutter
98,65,4,65,shell-armor
98,65,4,65,sheer-force
99,166,13,600,hyper-cutter
99,166,13,600,shell-armor
99,166,13,600,sheer-force
100,66,5,104,soundproof
100,66,5,104,static
100,66,5,104,aftermath
101,172,12,666,soundproof
101,172,12,666,static
101,172,12,666,aftermath
102,65,4,25,chlorophyll
102,65,4,25,harvest
103,186,20,1200,chlorophyll
103,186,20,1200,harvest
104,64,4,65,rock-head
104,64,4,65,lightning-rod
104,64,4,65,battle-armor
105,149,10,450,rock-head
105,149,10,450,lightning-rod
105,149,10,450,battle-armor
106,159,15,498,limber
106,159,15,498,reckless
106,159,15,498,unburden
107,159,14,502,keen-eye
107,159,14,502,iron-fist
107,159,14,502,inner-focus
108,77,12,655,own-tempo
108,77,12,655,oblivious
108,77,12,655,cloud-nine
109,68,6,10,levitate
109,68,6,10,neutralizing-gas
109,68,6,10,stench
110,172,12,95,levitate
110,172,12,95,neutralizing-gas
110,172,12,95,stench
111,69,10,1150,lightning-rod
111,69,10,1150,rock-head
111,69,10,1150,reckless
112,170,19,1200,lightning-rod
112,170,19,1200,rock-head
112,170,19,1200,reckless
113,395,11,346,natural-cure
113,395,11,346,serene-grace
113,395,11,346,healer
114,87,10,350,chlorophyll
114,87,10,350,leaf-guard
114,87,10,350,regenerator
115,172,22,800,early-bird
115,172,22,800,scrappy
115,172,22,800,inner-focus
116,59,4,80,swift-swim
116,59,4,80,sniper
116,59,4,80,damp
117,154,12,250,poison-point
117,154,12,250,sniper
117,154,12,250,damp
118,64,6,150,swift-swim
118,64,6,150,water-veil
118,64,6,150,lightning-rod
119,158,13,390,swift-swim
119,158,13,390,water-veil
119,158,13,390,lightning-rod
120,68,8,345,illuminate
120,68,8,345,natural-cure
120,68,8,345,analytic
121,182,11,800,illuminate
121,182,11,800,natural-cure
121,182,11,800,analytic
122,161,13,545,soundproof
122,161,13,545,filter
122,161,13,545,technician
123,100,15,560,swarm
123,100,15,560,technician
123,100,15,560,steadfast
124,159,14,406,oblivious
124,159,14,406,forewarn
124,159,14,406,dry-skin
125,172,11,300,static
125,172,11,300,vital-spirit
126,173,13,445,flame-body
126,173,13,445,vital-spirit
127,175,15,550,hyper-cutter
127,175,15,550,mold-breaker
127,175,15,550,moxie
128,172,14,884,intimidate
128,172,14,884,anger-point
128,172,14,884,sheer-force
129,40,9,100,swift-swim
129,40,9,100,rattled
130,189,65,2350,intimidate
130,189,65,2350,moxie
131,187,25,2200,water-absorb
131,187,25,2200,shell-armor
131,187,25,2200,hydration
132,101,3,40,limber
132,101,3,40,imposter
133,65,3,65,run-away
133,65,3,65,adaptability
133,65,3,65,anticipation
134,184,10,290,water-absorb
134,184,10,290,hydration
135,184,8,245,volt-absorb
135,184,8,245,quick-feet
136,184,9,250,flash-fire
136,184,9,250,guts
137,79,8,365,trace
137,79,8,365,download
137,79,8,365,analytic
138,71,4,75,swift-swim
138,71,4,75,shell-armor
138,71,4,75,weak-armor
139,173,10,350,swift-swim
139,173,10,350,shell-armor
139,173,10,350,weak-armor
140,71,5,115,swift-swim
140,71,5,115,battle-armor
140,71,5,115,weak-armor
141,173,13,405,swift-swim
141,173,13,405,battle-armor
141,173,13,405,weak-armor
142,180,18,590,rock-head
142,180,18,590,pressure
142,180,18,590,unnerve
143,189,21,4600,immunity
143,189,21,4600,thick-fat
143,189,21,4600,gluttony
144,261,17,554,pressure
144,261,17,554,snow-cloak
145,261,16,526,pressure
145,261,16,526,static
146,261,20,600,pressure
146,261,20,600,flame-body
147,60,18,33,shed-skin
147,60,18,33,marvel-scale
148,147,40,165,shed-skin
148,147,40,165,marvel-scale
149,270,22,2100,inner-focus
149,270,22,2100,multiscale
150,306,20,1220,pressure
150,306,20,1220,unnerve
151,270,4,40,synchronize
